'자전거번호','대여일시','대여대여소번호','대여거치대','반납일시','반납대여소번호','반납거치대','이용시간(분)','이용거리(M)'
'SPB-09644','2018-04-05 00:00:00','1455',8,'2018-04-05 00:07:39','1433',4,7,1310
'SPB-09049','2018-04-05 00:00:01','634',10,'2018-04-05 00:13:37','1442',4,12,2550
'SPB-08390','2018-04-05 00:00:04','2102',19,'2018-04-05 00:09:08','2107',25,8,1400
'SPB-09310','2018-04-05 00:00:39','1308',3,'2018-04-05 00:06:43','614',19,5,540
'SPB-03885','2018-04-05 00:00:53','1026',8,'2018-04-05 00:44:13','1044',6,42,4160
'SPB-13039','2018-04-05 00:00:55','1411',3,'2018-04-05 00:09:06','1443',7,7,1160
'SPB-13768','2018-04-05 00:01:01','258',2,'2018-04-05 00:30:51','258',4,29,2320
'SPB-08714','2018-04-05 00:01:04','1716',3,'2018-04-05 00:43:27','553',9,41,4920
'SPB-05459','2018-04-05 00:01:17','111',6,'2018-04-05 00:06:47','121',2,5,1040
'SPB-11443','2018-04-05 00:01:19','1983',7,'2018-04-05 00:35:36','262',11,32,4440
'SPB-14947','2018-04-05 00:01:26','1244',5,'2018-04-05 00:20:42','1251',2,18,3550
'SPB-08952','2018-04-05 00:01:37','113',4,'2018-04-05 00:23:46','151',9,20,2390
'SPB-13037','2018-04-05 00:01:46','1260',4,'2018-04-05 00:22:12','1028',3,19,3790
'SPB-11952','2018-04-05 00:01:47','114',4,'2018-04-05 00:09:29','108',10,7,880
'SPB-13585','2018-04-05 00:01:48','2233',19,'2018-04-05 00:15:29','2370',11,13,3350
'SPB-02192','2018-04-05 00:01:51','1709',11,'2018-04-05 00:09:28','1713',2,7,1280
'SPB-02100','2018-04-05 00:01:56','248',7,'2018-04-05 00:15:04','120',1,12,2730
'SPB-14010','2018-04-05 00:02:07','502',12,'2018-04-05 00:06:54','548',14,4,780
'SPB-01542','2018-04-05 00:02:09','553',5,'2018-04-05 00:07:33','602',1,5,900
'SPB-10846','2018-04-05 00:02:14','635',4,'2018-04-05 00:10:01','624',1,7,1690
'SPB-12671','2018-04-05 00:02:27','1332',3,'2018-04-05 00:09:20','1333',2,6,790
'SPB-04858','2018-04-05 00:02:33','2016',2,'2018-04-05 00:22:49','237',1,19,4020
'SPB-07435','2018-04-05 00:02:35','615',19,'2018-04-05 00:20:24','635',4,17,2370
'SPB-10451','2018-04-05 00:02:36','1209',4,'2018-04-05 01:35:13','112',1,87,20990
'SPB-10736','2018-04-05 00:02:44','710',11,'2018-04-05 00:12:24','706',1,9,1290
'SPB-02145','2018-04-05 00:02:46','2230',18,'2018-04-05 00:15:18','2104',11,11,1240
'SPB-10515','2018-04-05 00:02:52','516',8,'2018-04-05 00:12:28','512',2,9,2320
'SPB-08372','2018-04-05 00:03:22','207',24,'2018-04-05 00:56:13','2157',4,48,6790
'SPB-11262','2018-04-05 00:03:24','207',23,'2018-04-05 00:56:08','2157',6,49,6790
'SPB-10764','2018-04-05 00:03:26','3509',3,'2018-04-05 00:12:21','592',13,8,1740
'SPB-06705','2018-04-05 00:03:36','419',16,'2018-04-05 00:31:22','931',9,27,4960
'SPB-16206','2018-04-05 00:03:37','1422',10,'2018-04-05 00:12:12','1438',15,8,1770
'SPB-02466','2018-04-05 00:03:39','1259',2,'2018-04-05 00:10:51','1215',14,6,1030
'SPB-05062','2018-04-05 00:03:43','731',4,'2018-04-05 00:13:48','702',7,9,1290
'SPB-08566','2018-04-05 00:03:47','152',2,'2018-04-05 00:12:19','101',2,8,1160
'SPB-12788','2018-04-05 00:03:59','2230',4,'2018-04-05 00:26:04','2281',1,21,2040
'SPB-14862','2018-04-05 00:04:00','146',10,'2018-04-05 00:15:55','830',10,11,1460
'SPB-12468','2018-04-05 00:04:02','551',10,'2018-04-05 00:11:45','3504',6,7,1370
'SPB-04007','2018-04-05 00:04:03','214',10,'2018-04-05 00:33:40','1920',10,29,5240
'SPB-02993','2018-04-05 00:04:12','1503',10,'2018-04-05 00:09:55','1512',19,5,910
