'자전거번호','대여일시','대여대여소번호','대여거치대','반납일시','반납대여소번호','반납거치대','이용시간(분)','이용거리(M)'
'SPB-06138','2018-04-05 00:04:19','562',4,'2018-04-05 00:09:38','540',7,4,730
'SPB-13743','2018-04-05 00:04:22','2009',5,'2018-04-05 00:16:51','2024',1,12,2890
'SPB-05160','2018-04-05 00:04:38','152',5,'2018-04-05 00:12:30','101',5,7,1160
'SPB-10167','2018-04-05 00:04:38','1337',1,'2018-04-05 00:25:43','581',6,21,5500
'SPB-12812','2018-04-05 00:04:42','106',1,'2018-04-05 00:11:57','184',5,6,1200
'SPB-13986','2018-04-05 00:04:42','1712',15,'2018-04-05 00:52:16','1602',10,47,6970
'SPB-05406','2018-04-05 00:05:04','2050',6,'2018-04-05 00:33:40','2007',11,28,4140
'SPB-07763','2018-04-05 00:05:17','627',6,'2018-04-05 00:10:00','602',1,4,550
'SPB-14225','2018-04-05 00:05:25','625',5,'2018-04-05 00:11:10','526',5,5,1120
'SPB-13683','2018-04-05 00:05:30','916',7,'2018-04-05 00:10:54','933',6,5,810
'SPB-07944','2018-04-05 00:05:33','103',1,'2018-04-05 00:11:44','152',6,6,1410
'SPB-07525','2018-04-05 00:05:35','2104',1,'2018-04-05 00:18:13','2048',1,12,1790
'SPB-13528','2018-04-05 00:05:38','3501',4,'2018-04-05 00:16:13','515',1,10,1140
'SPB-13737','2018-04-05 00:05:41','372',2,'2018-04-05 00:15:27','381',9,9,1000
'SPB-08570','2018-04-05 00:05:58','1708',1,'2018-04-05 00:31:20','1519',1,24,2070
'SPB-13758','2018-04-05 00:06:01','257',1,'2018-04-05 02:04:41','248',1,118,24960
'SPB-09664','2018-04-05 00:06:24','138',3,'2018-04-05 00:20:02','179',7,13,1990
'SPB-06344','2018-04-05 00:06:30','102',8,'2018-04-05 00:12:44','154',9,5,830
'SPB-05907','2018-04-05 00:06:32','1222',10,'2018-04-05 00:10:41','1224',14,3,580
'SPB-11776','2018-04-05 00:06:35','2139',4,'2018-04-05 00:15:52','2136',7,8,2110
'SPB-05224','2018-04-05 00:06:49','3507',2,'2018-04-05 00:13:38','551',7,6,1930
'SPB-08715','2018-04-05 00:06:51','1636',10,'2018-04-05 00:26:04','1606',8,18,3640
'SPB-12710','2018-04-05 00:06:56','2109',11,'2018-04-05 00:27:28','2122',6,20,2360
'SPB-09344','2018-04-05 00:07:00','1908',10,'2018-04-05 00:43:15','704',6,34,3350
'SPB-10028','2018-04-05 00:07:00','816',5,'2018-04-05 01:36:06','355',5,84,18050
'SPB-07375','2018-04-05 00:07:01','207',12,'2018-04-05 00:42:51','157',3,32,3990
'SPB-02833','2018-04-05 00:07:11','211',9,'2018-04-05 00:17:57','221',2,10,1710
'SPB-14087','2018-04-05 00:07:12','2102',10,'2018-04-05 00:16:55','2107',17,9,1810
'SPB-00890','2018-04-05 00:07:19','912',1,'2018-04-05 00:14:52','191',4,7,1410
'SPB-15228','2018-04-05 00:07:30','576',3,'2018-04-05 00:51:39','3522',5,43,7840
'SPB-15426','2018-04-05 00:07:31','634',6,'2018-04-05 00:33:57','362',5,26,5260
'SPB-05753','2018-04-05 00:07:33','103',14,'2018-04-05 00:12:45','107',4,4,820
'SPB-07989','2018-04-05 00:07:35','906',1,'2018-04-05 00:22:19','907',10,14,2310
'SPB-10977','2018-04-05 00:07:41','1602',14,'2018-04-05 00:36:35','1637',4,28,4940
'SPB-13157','2018-04-05 00:07:46','129',10,'2018-04-05 00:32:06','155',12,23,3120
'SPB-09520','2018-04-05 00:08:00','818',12,'2018-04-05 00:13:45','820',5,5,350
'SPB-03641','2018-04-05 00:08:04','813',6,'2018-04-05 00:13:36','806',18,5,1510
'SPB-06382','2018-04-05 00:08:06','188',7,'2018-04-05 02:02:43','188',7,114,18410
'SPB-01242','2018-04-05 00:08:12','1602',10,'2018-04-05 00:17:35','1608',4,9,1490
'SPB-10961','2018-04-05 00:08:14','1263',1,'2018-04-05 00:19:05','1244',4,10,1850
'SPB-11346','2018-04-05 00:08:31','634',4,'2018-04-05 00:34:14','559',9,25,4700
'SPB-09837','2018-04-05 00:08:46','359',1,'2018-04-05 00:15:02','341',5,5,770
'SPB-01658','2018-04-05 00:09:08','917',5,'2018-04-05 00:14:31','900',12,4,930
'SPB-10405','2018-04-05 00:09:14','2016',5,'2018-04-05 00:17:59','253',6,8,1570
'SPB-08167','2018-04-05 00:09:46','2111',4,'2018-04-05 00:52:36','2237',19,40,6230
'SPB-01605','2018-04-05 00:09:48','2025',12,'2018-04-05 00:30:33','212',5,20,5310
'SPB-16081','2018-04-05 00:09:53','2032',2,'2018-04-05 00:15:03','2265',24,4,1030
'SPB-08710','2018-04-05 00:09:55','1009',15,'2018-04-05 00:16:38','1020',1,6,1330
'SPB-15671','2018-04-05 00:10:08','1643',8,'2018-04-05 00:29:34','634',1,19,4070
'SPB-13180','2018-04-05 00:10:12','704',13,'2018-04-05 00:21:06','729',3,10,1750
'SPB-12388','2018-04-05 00:10:12','116',5,'2018-04-05 00:51:59','939',11,40,6350
'SPB-03964','2018-04-05 00:10:14','2050',4,'2018-04-05 00:16:41','2013',6,5,910
'SPB-02573','2018-04-05 00:10:14','1964',3,'2018-04-05 00:22:01','1940',1,11,1780
'SPB-09657','2018-04-05 00:10:28','2050',6,'2018-04-05 00:15:56','2013',16,5,830
'SPB-02947','2018-04-05 00:10:38','341',9,'2018-04-05 00:29:49','1337',2,18,2390
'SPB-09130','2018-04-05 00:10:47','2356',10,'2018-04-05 00:34:56','2269',10,23,3110
'SPB-10862','2018-04-05 00:10:48','277',6,'2018-04-05 00:38:01','719',6,26,3970
'SPB-05029','2018-04-05 00:10:52','1042',10,'2018-04-05 00:17:29','1021',6,6,670
'SPB-05412','2018-04-05 00:10:53','213',2,'2018-04-05 00:22:23','239',5,11,2230
'SPB-05672','2018-04-05 00:10:55','340',1,'2018-04-05 00:19:21','1303',7,8,1490
'SPB-14046','2018-04-05 00:11:00','504',3,'2018-04-05 01:20:52','513',7,69,5470
'SPB-13493','2018-04-05 00:11:01','706',1,'2018-04-05 00:22:17','736',2,10,1710
'SPB-15346','2018-04-05 00:11:25','143',9,'2018-04-05 00:25:55','185',6,14,1940
'SPB-14754','2018-04-05 00:11:30','1344',6,'2018-04-05 00:24:27','1317',8,12,1820
'SPB-10159','2018-04-05 00:11:37','907',1,'2018-04-05 00:19:04','939',15,7,800
'SPB-12321','2018-04-05 00:11:40','1606',6,'2018-04-05 00:14:09','1606',6,2,40
'SPB-06077','2018-04-05 00:11:45','306',6,'2018-04-05 00:15:17','312',3,3,730
'SPB-05168','2018-04-05 00:11:45','1320',1,'2018-04-05 00:48:10','1529',13,36,5510
'SPB-11875','2018-04-05 00:11:54','1827',14,'2018-04-05 00:26:41','1827',13,13,1260
'SPB-08121','2018-04-05 00:11:58','2320',3,'2018-04-05 00:18:03','2325',4,5,1170
'SPB-14433','2018-04-05 00:12:03','614',1,'2018-04-05 00:28:35','3513',8,16,1860
'SPB-06746','2018-04-05 00:12:07','1636',2,'2018-04-05 00:25:40','1616',5,13,1830
'SPB-15512','2018-04-05 00:12:34','128',5,'2018-04-05 00:41:55','175',17,29,4540
'SPB-04467','2018-04-05 00:12:37','922',8,'2018-04-05 00:26:10','945',3,13,2310
'SPB-14193','2018-04-05 00:12:37','128',7,'2018-04-05 00:41:54','175',6,28,4490
'SPB-04630','2018-04-05 00:12:39','579',2,'2018-04-05 00:18:26','538',2,5,1140
'SPB-15060','2018-04-05 00:12:39','128',8,'2018-04-05 00:42:07','175',5,29,4450
'SPB-02946','2018-04-05 00:12:48','614',2,'2018-04-05 00:26:31','3513',7,13,1910
'SPB-06316','2018-04-05 00:12:52','252',8,'2018-04-05 00:18:55','250',1,5,164610
'SPB-08373','2018-04-05 00:13:07','504',4,'2018-04-05 00:27:39','571',1,13,1890
'SPB-10645','2018-04-05 00:13:10','2033',6,'2018-04-05 00:22:39','2028',4,9,1290
'SPB-01813','2018-04-05 00:13:21','1305',10,'2018-04-05 00:21:10','363',1,7,1790
'SPB-01377','2018-04-05 00:13:49','551',1,'2018-04-05 00:16:45','542',19,2,610
'SPB-12912','2018-04-05 00:13:50','579',1,'2018-04-05 00:26:05','614',4,11,2250
'SPB-15333','2018-04-05 00:13:57','2335',10,'2018-04-05 00:20:50','2330',9,6,1570
'SPB-14843','2018-04-05 00:14:06','592',4,'2018-04-05 00:17:36','503',10,3,880
'SPB-09068','2018-04-05 00:14:06','1901',5,'2018-04-05 00:44:31','1845',10,29,5640
'SPB-15457','2018-04-05 00:14:11','1953',7,'2018-04-05 00:19:34','1981',1,4,880
'SPB-15058','2018-04-05 00:14:12','504',2,'2018-04-05 01:20:40','513',8,66,5460
'SPB-00450','2018-04-05 00:14:15','1842',15,'2018-04-05 00:19:36','1829',8,5,570
'SPB-10234','2018-04-05 00:14:18','615',2,'2018-04-05 00:45:02','3502',9,29,5570
'SPB-08530','2018-04-05 00:14:22','2002',5,'2018-04-05 00:59:05','2002',1,41,8570
'SPB-10239','2018-04-05 00:14:32','114',5,'2018-04-05 00:20:19','114',5,5,390
'SPB-08321','2018-04-05 00:14:34','244',5,'2018-04-05 00:21:40','245',5,6,990
'SPB-02757','2018-04-05 00:14:36','266',3,'2018-04-05 00:25:40','1906',20,10,2080
'SPB-10160','2018-04-05 00:14:36','836',15,'2018-04-05 00:28:47','818',12,13,2700
'SPB-04930','2018-04-05 00:14:46','1840',8,'2018-04-05 00:31:00','2115',8,15,2810
'SPB-10375','2018-04-05 00:14:47','909',8,'2018-04-05 00:28:20','107',3,13,4280
'SPB-13425','2018-04-05 00:14:53','173',4,'2018-04-05 01:24:00','173',7,68,2300
'SPB-05666','2018-04-05 00:14:54','1214',2,'2018-04-05 00:21:06','1203',8,5,1280
'SPB-05237','2018-04-05 00:15:00','2173',2,'2018-04-05 00:44:08','2102',11,28,4970
'SPB-10758','2018-04-05 00:15:01','1019',2,'2018-04-05 00:51:18','1019',2,35,6570
'SPB-12897','2018-04-05 00:15:05','112',3,'2018-04-05 01:00:49','524',8,44,12670
'SPB-08379','2018-04-05 00:15:06','1440',7,'2018-04-05 00:23:21','606',2,8,1200
'SPB-08017','2018-04-05 00:15:19','552',9,'2018-04-05 00:45:23','577',3,29,1590
'SPB-08369','2018-04-05 00:15:21','2013',10,'2018-04-05 00:24:23','2007',17,8,1060
'SPB-14902','2018-04-05 00:15:31','173',7,'2018-04-05 01:24:04','173',1,68,2270
'SPB-11998','2018-04-05 00:15:36','192',6,'2018-04-05 00:21:19','175',14,5,1130
'SPB-07814','2018-04-05 00:15:40','1601',5,'2018-04-05 00:27:09','1534',4,10,1970
'SPB-08854','2018-04-05 00:15:46','529',6,'2018-04-05 00:36:24','617',6,19,2060
'SPB-02448','2018-04-05 00:15:48','2220',6,'2018-04-05 00:43:46','2220',5,27,2220
'SPB-14578','2018-04-05 00:16:01','510',4,'2018-04-05 00:54:08','510',4,37,5020
'SPB-10027','2018-04-05 00:16:03','2102',12,'2018-04-05 00:23:57','2173',2,7,860
'SPB-14580','2018-04-05 00:16:06','1305',5,'2018-04-05 01:04:39','553',5,48,9060
'SPB-12152','2018-04-05 00:16:24','1636',10,'2018-04-05 00:25:44','1616',10,8,1830
'SPB-13586','2018-04-05 00:16:29','2313',7,'2018-04-05 00:28:56','2317',5,12,2130
'SPB-03676','2018-04-05 00:16:41','2313',4,'2018-04-05 00:27:42','585',4,10,1910
'SPB-01862','2018-04-05 00:16:43','243',10,'2018-04-05 00:19:52','230',1,2,670
'SPB-00132','2018-04-05 00:16:47','2102',17,'2018-04-05 00:24:00','2173',3,6,1040
'SPB-13083','2018-04-05 00:17:07','230',7,'2018-04-05 00:42:19','1908',4,22,4780
'SPB-10751','2018-04-05 00:17:14','1636',8,'2018-04-05 00:33:36','1707',5,16,2950
'SPB-02384','2018-04-05 00:17:19','558',17,'2018-04-05 00:25:29','536',3,7,1260
'SPB-06235','2018-04-05 00:17:20','1433',3,'2018-04-05 00:28:04','1431',3,10,1690
'SPB-13468','2018-04-05 00:17:23','266',6,'2018-04-05 00:26:46','247',1,9,1870
'SPB-13933','2018-04-05 00:17:27','1709',5,'2018-04-05 00:46:23','607',3,28,8460
'SPB-09777','2018-04-05 00:17:29','1606',2,'2018-04-05 00:28:43','1616',1,10,1910
'SPB-09192','2018-04-05 00:17:32','257',9,'2018-04-05 01:24:55','257',2,66,8490
'SPB-05409','2018-04-05 00:17:36','1606',4,'2018-04-05 00:28:38','1616',6,10,1970
'SPB-11553','2018-04-05 00:17:39','504',1,'2018-04-05 02:49:41','504',2,142,3980
'SPB-12202','2018-04-05 00:17:43','816',1,'2018-04-05 00:25:40','800',12,7,1260
'SPB-11280','2018-04-05 00:17:45','139',12,'2018-04-05 00:23:05','196',10,4,1090
'SPB-15287','2018-04-05 00:17:54','1601',14,'2018-04-05 00:32:12','1606',4,13,1390
'SPB-10137','2018-04-05 00:17:58','635',7,'2018-04-05 00:21:24','635',11,3,10
'SPB-04972','2018-04-05 00:18:28','1035',1,'2018-04-05 00:33:57','1032',10,15,2280
'SPB-10191','2018-04-05 00:18:29','925',1,'2018-04-05 00:34:22','931',7,15,1550
'SPB-08698','2018-04-05 00:18:32','1021',8,'2018-04-05 00:37:46','1004',8,18,3890
'SPB-02904','2018-04-05 00:18:36','274',2,'2018-04-05 00:35:19','232',3,16,2920
'SPB-08574','2018-04-05 00:18:41','115',11,'2018-04-05 00:32:18','120',1,12,1770
'SPB-09685','2018-04-05 00:18:45','1608',7,'2018-04-05 00:29:58','1623',12,10,1380
'SPB-11705','2018-04-05 00:18:55','114',13,'2018-04-05 01:26:20','153',3,67,1490
'SPB-12264','2018-04-05 00:18:56','1520',9,'2018-04-05 01:06:50','1512',15,44,6630
'SPB-06781','2018-04-05 00:18:58','132',7,'2018-04-05 00:35:43','201',1,16,3510
'SPB-02503','2018-04-05 00:19:06','2274',9,'2018-04-05 00:23:39','2252',7,4,1140
'SPB-12195','2018-04-05 00:19:09','1035',3,'2018-04-05 00:34:16','1032',10,15,2270
'SPB-14065','2018-04-05 00:19:10','1824',10,'2018-04-05 01:06:54','228',1,47,10750
'SPB-15449','2018-04-05 00:19:15','1215',1,'2018-04-05 00:24:19','1248',5,4,1280
'SPB-13654','2018-04-05 00:19:19','1608',5,'2018-04-05 00:30:01','1623',11,10,1620
'SPB-12198','2018-04-05 00:19:24','259',6,'2018-04-05 00:28:59','2008',9,9,1290
'SPB-09156','2018-04-05 00:19:26','1109',2,'2018-04-05 00:37:21','1124',6,17,2900
'SPB-15945','2018-04-05 00:19:27','340',2,'2018-04-05 00:33:18','361',7,13,2690
'SPB-10323','2018-04-05 00:19:30','1663',1,'2018-04-05 00:23:21','1602',10,3,500
'SPB-03061','2018-04-05 00:19:42','1002',4,'2018-04-05 00:56:08','1002',2,36,5190
'SPB-09433','2018-04-05 00:19:44','949',4,'2018-04-05 00:46:38','914',4,25,3650
'SPB-11182','2018-04-05 00:19:48','114',7,'2018-04-05 01:28:12','114',7,65,3930
'SPB-07712','2018-04-05 00:20:01','213',5,'2018-04-05 00:50:43','222',6,28,2340
'SPB-11661','2018-04-05 00:20:09','813',14,'2018-04-05 00:27:33','805',9,7,0
'SPB-02264','2018-04-05 00:20:20','836',12,'2018-04-05 01:08:30','836',15,47,3010
'SPB-04059','2018-04-05 00:20:23','635',11,'2018-04-05 00:30:59','634',15,10,1180
'SPB-06465','2018-04-05 00:20:34','622',6,'2018-04-05 00:25:21','617',11,4,470
'SPB-02590','2018-04-05 00:20:39','1337',7,'2018-04-05 00:29:42','1351',1,8,1630
'SPB-08651','2018-04-05 00:20:54','633',2,'2018-04-05 00:27:53','641',1,6,1180
'SPB-05612','2018-04-05 00:20:57','1035',20,'2018-04-05 00:31:04','1034',9,9,1500
'SPB-15725','2018-04-05 00:21:14','1440',1,'2018-04-05 00:27:34','606',4,6,1050
'SPB-10846','2018-04-05 00:21:18','624',1,'2018-04-05 00:26:16','633',4,4,820
'SPB-09705','2018-04-05 00:21:22','214',14,'2018-04-05 00:45:25','703',8,23,4740
'SPB-01611','2018-04-05 00:21:28','2028',4,'2018-04-05 00:33:11','2265',21,11,2150
'SPB-00417','2018-04-05 00:21:43','1002',2,'2018-04-05 00:56:24','1002',4,34,5060
'SPB-10764','2018-04-05 00:21:50','592',13,'2018-04-05 01:17:20','1438',1,54,10140
'SPB-08014','2018-04-05 00:22:02','1449',9,'2018-04-05 00:25:02','1404',1,2,340
'SPB-13163','2018-04-05 00:22:02','3501',2,'2018-04-05 00:33:35','574',6,10,1550
'SPB-16213','2018-04-05 00:22:13','614',17,'2018-04-05 03:54:00','520',9,211,22340
'SPB-06445','2018-04-05 00:22:14','1035',2,'2018-04-05 00:30:58','1034',15,8,1500
'SPB-09013','2018-04-05 00:22:35','2109',2,'2018-04-05 00:39:33','2173',6,15,1520
'SPB-02167','2018-04-05 00:22:37','1222',9,'2018-04-05 00:29:43','1231',3,6,1460
'SPB-12524','2018-04-05 00:22:37','635',10,'2018-04-05 00:30:42','634',14,7,1000
'SPB-13625','2018-04-05 00:22:47','504',4,'2018-04-05 02:48:02','504',1,144,5880
'SPB-09950','2018-04-05 00:22:48','1222',1,'2018-04-05 01:18:06','1017',20,53,6910
'SPB-11201','2018-04-05 00:23:05','930',4,'2018-04-05 00:45:05','154',5,22,5370
'SPB-08001','2018-04-05 00:23:19','2377',9,'2018-04-05 00:33:05','1257',3,9,1130
'SPB-13470','2018-04-05 00:23:24','2107',6,'2018-04-05 00:31:33','2135',4,7,2010
'SPB-10044','2018-04-05 00:23:31','114',8,'2018-04-05 01:26:58','114',6,59,3420
'SPB-12846','2018-04-05 00:23:32','114',4,'2018-04-05 00:35:31','196',9,11,1980
'SPB-13429','2018-04-05 00:23:33','1314',6,'2018-04-05 01:13:29','1314',5,49,5990
'SPB-04161','2018-04-05 00:23:42','1015',8,'2018-04-05 00:57:29','1226',2,33,6340
'SPB-11952','2018-04-05 00:23:45','108',10,'2018-04-05 00:34:49','116',2,10,1810
'SPB-11473','2018-04-05 00:23:46','2220',2,'2018-04-05 00:47:30','2224',1,23,2330
'SPB-08590','2018-04-05 00:23:49','639',7,'2018-04-05 00:37:10','631',4,12,2490
'SPB-15532','2018-04-05 00:23:58','184',3,'2018-04-05 00:38:12','192',1,13,3500
'SPB-02241','2018-04-05 00:24:13','129',1,'2018-04-05 00:33:15','143',5,8,2020
'SPB-16189','2018-04-05 00:24:24','1319',5,'2018-04-05 00:31:31','1318',1,6,1070
'SPB-02819','2018-04-05 00:24:32','601',9,'2018-04-05 01:16:36','354',10,51,6030
'SPB-13222','2018-04-05 00:24:33','2220',10,'2018-04-05 00:47:32','2224',2,22,2640
'SPB-12334','2018-04-05 00:24:39','2122',11,'2018-04-05 01:10:58','2265',6,44,8340
'SPB-15338','2018-04-05 00:24:39','1314',5,'2018-04-05 01:13:46','1314',6,48,5860
'SPB-01011','2018-04-05 00:24:45','1619',10,'2018-04-05 00:28:43','1682',2,3,1000
'SPB-04070','2018-04-05 00:24:50','129',3,'2018-04-05 00:33:20','143',9,8,2030
'SPB-04270','2018-04-05 00:24:57','736',10,'2018-04-05 00:35:44','1145',7,10,1730
'SPB-06743','2018-04-05 00:24:59','2038',6,'2018-04-05 00:33:58','2036',4,8,1540
'SPB-14269','2018-04-05 00:25:14','906',2,'2018-04-05 01:16:25','926',6,50,1430
'SPB-04245','2018-04-05 00:25:30','2220',5,'2018-04-05 00:48:14','2224',8,22,2670
'SPB-02397','2018-04-05 00:25:34','2048',3,'2018-04-05 00:31:34','2041',6,5,0
'SPB-07378','2018-04-05 00:25:36','601',3,'2018-04-05 00:38:16','579',2,11,1550
'SPB-13377','2018-04-05 00:25:36','1660',1,'2018-04-05 00:44:14','1616',9,18,1610
'SPB-12424','2018-04-05 00:25:44','1841',3,'2018-04-05 00:31:24','1831',1,5,910
'SPB-09939','2018-04-05 00:25:50','553',9,'2018-04-05 00:53:30','555',6,24,5250
'SPB-09661','2018-04-05 00:25:57','383',4,'2018-04-05 00:35:53','372',2,9,46570
'SPB-01020','2018-04-05 00:25:58','1303',3,'2018-04-05 00:57:39','301',16,31,5200
'SPB-05531','2018-04-05 00:26:05','2207',5,'2018-04-05 00:35:32','2202',20,9,1480
'SPB-13737','2018-04-05 00:26:14','381',9,'2018-04-05 00:29:22','381',9,2,0
'SPB-14958','2018-04-05 00:26:17','1635',4,'2018-04-05 00:30:19','1654',5,3,1270
'SPB-16059','2018-04-05 00:26:20','1616',1,'2018-04-05 00:32:25','1611',10,5,1150
'SPB-03956','2018-04-05 00:26:25','631',13,'2018-04-05 00:35:41','624',2,8,1080
'SPB-06104','2018-04-05 00:26:25','2220',6,'2018-04-05 00:48:02','2224',4,21,2760
'SPB-12420','2018-04-05 00:26:37','908',4,'2018-04-05 00:33:11','927',5,6,760
'SPB-08440','2018-04-05 00:26:50','909',1,'2018-04-05 01:17:54','905',1,48,10280
'SPB-10344','2018-04-05 00:27:02','367',5,'2018-04-05 00:35:29','349',1,8,1170
'SPB-14949','2018-04-05 00:27:06','183',6,'2018-04-05 01:20:41','207',11,53,11160
'SPB-12803','2018-04-05 00:27:12','2140',1,'2018-04-05 00:36:09','2139',5,8,1360
'SPB-14863','2018-04-05 00:27:22','1306',5,'2018-04-05 00:38:53','1338',15,11,1740
'SPB-03940','2018-04-05 00:27:36','558',14,'2018-04-05 00:46:48','637',3,18,3930
'SPB-15387','2018-04-05 00:27:49','1721',3,'2018-04-05 00:35:59','1709',7,7,1210
'SPB-15756','2018-04-05 00:27:51','1346',4,'2018-04-05 00:45:25','1337',1,17,2500
'SPB-13468','2018-04-05 00:27:51','247',1,'2018-04-05 00:47:18','263',3,19,2900
'SPB-03904','2018-04-05 00:27:55','538',1,'2018-04-05 00:34:28','625',9,6,1010
'SPB-13400','2018-04-05 00:27:59','1669',6,'2018-04-05 00:41:08','1702',1,12,2610
'SPB-15092','2018-04-05 00:28:06','126',13,'2018-04-05 00:51:37','166',2,23,4760
'SPB-13443','2018-04-05 00:28:11','2265',11,'2018-04-05 00:38:48','2034',2,10,2130
'SPB-12862','2018-04-05 00:28:11','152',1,'2018-04-05 00:44:17','113',17,16,2550
'SPB-06077','2018-04-05 00:28:15','312',3,'2018-04-05 00:38:03','301',7,9,1710
'SPB-06433','2018-04-05 00:28:32','1260',5,'2018-04-05 00:46:45','1227',4,17,0
'SPB-07432','2018-04-05 00:28:32','129',6,'2018-04-05 01:53:08','2220',8,80,10330
'SPB-02212','2018-04-05 00:28:52','342',10,'2018-04-05 01:09:04','553',4,39,9610
'SPB-06512','2018-04-05 00:29:02','306',9,'2018-04-05 01:17:31','384',1,48,5100
'SPB-12721','2018-04-05 00:29:05','361',9,'2018-04-05 00:53:22','1328',3,24,4570
'SPB-05642','2018-04-05 00:29:35','1931',1,'2018-04-05 00:33:59','1931',1,4,560
'SPB-10516','2018-04-05 00:29:35','1004',10,'2018-04-05 00:43:40','1015',2,13,2370
'SPB-02927','2018-04-05 00:29:42','1526',4,'2018-04-05 00:48:16','1674',2,18,4070
'SPB-07541','2018-04-05 00:29:58','624',3,'2018-04-05 00:36:19','538',3,6,1110
'SPB-10431','2018-04-05 00:30:04','1721',8,'2018-04-05 00:34:42','1702',10,4,760
'SPB-13345','2018-04-05 00:30:06','816',10,'2018-04-05 00:32:49','817',1,2,470
'SPB-08011','2018-04-05 00:30:11','1528',8,'2018-04-05 00:37:21','1531',3,7,900
'SPB-00675','2018-04-05 00:30:18','950',7,'2018-04-05 00:36:18','906',2,5,800
'SPB-02283','2018-04-05 00:30:27','525',1,'2018-04-05 00:41:40','561',7,10,2030
'SPB-13166','2018-04-05 00:30:32','1318',7,'2018-04-05 00:35:07','1313',3,4,850
