'자전거번호','대여일시','대여대여소번호','대여거치대','반납일시','반납대여소번호','반납거치대','이용시간(분)','이용거리(M)'
'SPB-12392','2018-04-23 00:00:45','179',3,'2018-04-23 00:05:43','170',10,4,900
'SPB-01265','2018-04-23 00:01:06','1228',10,'2018-04-23 00:07:04','1207',8,5,810
'SPB-10535','2018-04-23 00:04:53','1946',4,'2018-04-23 00:30:20','1145',9,24,4700
'SPB-07961','2018-04-23 00:06:00','2361',9,'2018-04-23 00:17:01','2361',1,10,510
'SPB-10307','2018-04-23 00:06:50','1210',6,'2018-04-23 00:23:22','542',14,16,3080
'SPB-08303','2018-04-23 00:06:54','555',10,'2018-04-23 00:19:35','548',9,12,1960
'SPB-08516','2018-04-23 00:08:20','590',4,'2018-04-23 01:00:30','1008',10,48,7280
'SPB-01377','2018-04-23 00:09:54','2337',15,'2018-04-23 00:29:29','2314',10,19,4300
'SPB-02900','2018-04-23 00:10:03','277',10,'2018-04-23 00:22:37','257',4,12,1770
'SPB-11142','2018-04-23 00:11:11','126',13,'2018-04-23 00:29:05','126',8,18,1870
'SPB-01967','2018-04-23 00:11:36','1153',1,'2018-04-23 00:33:40','1120',1,21,2410
'SPB-06494','2018-04-23 00:12:05','1153',3,'2018-04-23 00:33:31','1120',3,20,2440
'SPB-12432','2018-04-23 00:12:14','1911',5,'2018-04-23 00:59:39','235',9,47,3620
'SPB-07854','2018-04-23 00:12:23','1153',8,'2018-04-23 00:33:31','1120',9,20,2420
'SPB-10248','2018-04-23 00:12:48','130',8,'2018-04-23 00:30:08','151',10,17,2590
'SPB-09419','2018-04-23 00:13:23','703',12,'2018-04-23 00:25:17','232',17,11,1210
'SPB-13172','2018-04-23 00:13:31','244',1,'2018-04-23 00:24:10','231',6,10,1790
'SPB-11682','2018-04-23 00:13:41','137',5,'2018-04-23 00:19:04','126',13,5,1080
'SPB-13065','2018-04-23 00:14:45','580',2,'2018-04-23 00:35:09','3519',2,19,4100
'SPB-10437','2018-04-23 00:14:58','126',19,'2018-04-23 00:20:52','148',9,5,990
'SPB-10997','2018-04-23 00:15:38','106',1,'2018-04-23 00:19:59','103',1,4,760
'SPB-06149','2018-04-23 00:15:55','1038',5,'2018-04-23 00:18:20','1021',15,2,620
'SPB-05279','2018-04-23 00:16:08','247',3,'2018-04-23 00:22:58','239',3,6,1220
'SPB-09474','2018-04-23 00:16:47','1248',8,'2018-04-23 02:27:11','1218',4,117,2090
'SPB-10784','2018-04-23 00:17:00','274',5,'2018-04-23 00:24:36','257',2,7,1400
'SPB-12892','2018-04-23 00:17:42','1152',2,'2018-04-23 01:05:18','736',10,46,4580
'SPB-12964','2018-04-23 00:17:50','274',1,'2018-04-23 00:34:51','251',2,16,2470
'SPB-02336','2018-04-23 00:17:51','1153',4,'2018-04-23 00:33:35','1120',5,15,2440
'SPB-10834','2018-04-23 00:17:54','1822',10,'2018-04-23 00:44:34','2106',4,25,3390
'SPB-08310','2018-04-23 00:18:21','3509',15,'2018-04-23 00:24:38','578',1,6,1090
'SPB-10383','2018-04-23 00:18:39','2377',2,'2018-04-23 00:30:15','1212',10,11,1860
'SPB-07948','2018-04-23 00:19:05','1906',4,'2018-04-23 00:38:11','259',11,17,3640
'SPB-05189','2018-04-23 00:20:13','102',1,'2018-04-23 00:56:01','907',9,35,6180
'SPB-07331','2018-04-23 00:20:57','1210',14,'2018-04-23 00:48:35','542',13,26,3490
'SPB-08630','2018-04-23 00:22:53','274',2,'2018-04-23 00:31:23','213',1,8,1060
'SPB-03574','2018-04-23 00:22:59','129',2,'2018-04-23 00:28:08','119',10,4,1330
'SPB-09094','2018-04-23 00:23:20','537',10,'2018-04-23 00:34:47','3514',3,10,1860
'SPB-08306','2018-04-23 00:24:04','1210',19,'2018-04-23 00:57:47','571',4,32,4940
'SPB-09961','2018-04-23 00:24:09','379',2,'2018-04-23 00:42:07','322',9,17,1850
'SPB-08746','2018-04-23 00:25:02','2015',7,'2018-04-23 00:39:19','254',2,14,2570
'SPB-12675','2018-04-23 00:25:21','142',2,'2018-04-23 00:32:05','143',9,6,1830
'SPB-08164','2018-04-23 00:25:31','108',7,'2018-04-23 00:31:25','102',14,5,760
'SPB-12357','2018-04-23 00:26:19','2377',4,'2018-04-23 00:40:42','1244',4,13,3300
'SPB-01860','2018-04-23 00:27:30','302',9,'2018-04-23 00:46:29','446',6,18,3480
'SPB-08642','2018-04-23 00:27:44','342',7,'2018-04-23 00:53:08','601',1,23,3950
'SPB-03410','2018-04-23 00:28:59','212',29,'2018-04-23 00:39:51','222',10,10,1890
'SPB-13072','2018-04-23 00:29:40','637',2,'2018-04-23 00:34:18','1321',2,4,48650
'SPB-08979','2018-04-23 00:30:29','383',13,'2018-04-23 00:45:01','346',1,12,460
