종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"266370","KODEX IT","16095","305","1.93","16060.09","15840","16140","15840","3451","55431365","17704500000","0","1100000","KRX 정보기술","1366.17","23.06","1.72"
"368680","KODEX K-뉴딜디지털플러스","7630","75","0.99","7676.68","7580","7640","7570","1387","10504830","8393000000","0","1100000","FnGuide K-뉴딜 디지털 플러스 지수","1822.75","27.20","1.51"
"445290","KODEX K-로봇액티브","14925","175","1.19","14968.96","14875","15010","14755","121217","1803945216","122385000000","0","8200000","iSelect K-로봇테마 지수","1925.72","17.65","0.92"
"401470","KODEX K-메타버스액티브","6975","70","1.01","6986.72","6915","6995","6895","22989","159682862","104973750000","0","15050000","FnGuide K-메타버스 지수","1008.95","7.12","0.71"
"385520","KODEX K-미래차액티브","7640","-5","-0.07","7664.47","7690","7695","7625","2689","20528235","16044000000","0","2100000","FnGuide K-미래차 지수","1408.68","3.48","0.25"
"385510","KODEX K-신재생에너지액티브","17135","40","0.23","17109.57","17285","17285","17035","4342","74357645","41124000000","0","2400000","FnGuide K-신재생에너지 플러스 지수","1405.88","0.18","0.01"
"373490","KODEX K-이노베이션액티브","11760","55","0.47","11832.70","11760","11760","11760","4000","47040000","7056000000","0","600000","FnGuide K-이노베이션 지수","1705.99","17.97","1.06"
"445150","KODEX K-친환경조선해운액티브","17805","180","1.02","17872.42","17625","17955","17452","47838","852218352","35610000000","0","2000000","FnGuide K-친환경 선박 지수","2133.84","26.23","1.24"
"423160","KODEX KOFR금리액티브(합성)","109775","10","0.01","109763.30","109775","109775","109770","279572","30688651294","3958815825000","0","36063000","KOFR 지수","1152.87","0.26","0.02"
"292190","KODEX KRX300","16655","325","1.99","16689.40","16475","16655","16475","10368","172315620","14989500000","0","900000","KRX 300","1611.69","34.75","2.20"
"306950","KODEX KRX300레버리지","13100","470","3.72","13209.23","12760","13100","12760","14380","185115025","13100000000","0","1000000","KRX 300","1611.71","34.77","2.20"
"229720","KODEX KTOP30","15875","205","1.31","15913.12","15860","15875","15860","68","1078525","7937500000","0","500000","KTOP 30","7936.73","131.18","1.68"
"291890","KODEX MSCI EM선물(H)","8470","75","0.89","8501.84","8500","8500","8470","796","6747260","4235000000","0","500000","iEdge Emerging Markets Futures Index(ER)","1174.82","-1.35","-0.12"
"289040","KODEX MSCI KOREA ESG유니버설","10260","195","1.94","10274.99","10235","10260","10235","58","593730","7182000000","0","700000","MSCI Korea ESG Universal Capped Index","1417.12","28.54","2.06"
"156080","KODEX MSCI Korea","16180","305","1.92","16220.21","16175","16180","16165","12","194035","11326000000","0","700000","MSCI Korea Index","779.97","16.99","2.23"
"278540","KODEX MSCI Korea TR","11665","235","2.06","11712.73","11515","11690","11515","789","9199855","663738500000","0","56900000","MSCI Korea TR Index","1480.96","35.09","2.43"
"275280","KODEX MSCI모멘텀","14520","185","1.29","14653.02","14460","14525","14460","111","1611710","10164000000","0","700000","MSCI Korea IMI Momentum Capped","4693.79","111.61","2.44"
"275290","KODEX MSCI밸류","10795","130","1.22","10838.67","10685","10815","10685","395","4250030","10795000000","0","1000000","MSCI Korea IMI Enhanced Value Capped","6207.26","114.96","1.89"
"275300","KODEX MSCI퀄리티","8870","195","2.25","8903.53","0","0","0","0","0","12418000000","0","1400000","MSCI Korea IMI Quality Capped","5171.32","119.86","2.37"
"269420","KODEX S&P글로벌인프라(합성)","18555","285","1.56","18643.25","18585","18710","18520","8244","153071910","18091125000","0","975000","S&P Global Infrastructure Index","3085.22","0.00","0.00"
"433970","KODEX TDF2030액티브","12830","5","0.04","12874.20","12835","12865","12830","26611","341769250","31433500000","0","2450000","Samsung Korea Target Date 2030 Index (Price Return)","1729.96","0.00","0.00"
"433980","KODEX TDF2040액티브","13595","45","0.33","13638.91","13655","13655","13580","12143","165140346","34667250000","0","2550000","Samsung Korea Target Date 2040 Index (Price Return)","1924.16","0.00","0.00"
"434060","KODEX TDF2050액티브","14130","45","0.32","14193.84","14090","14190","14090","84873","1200346639","201352500000","0","14250000","Samsung Korea Target Date 2050 Index (Price Return)","2131.71","0.00","0.00"
